"ids","labels","parents","values"
"Martin Dubravka","Dubravka","NEW",38
"Karl Darlow","Darlow","NEW",0
"Frederick Woodman","Woodman","NEW",0
"Miguel Almirón","Almirón","NEW",24
"Christian Atsu","Atsu","NEW",21
"Sung-yueng Ki","Ki Sung-yueng","NEW",4
"Jonjo Shelvey","Shelvey","NEW",24
"Sean Longstaff","Longstaff","NEW",16
"Isaac Hayden","Hayden","NEW",21
"Joelinton Cássio Apolinário de Lira","Joelinton","NEW",29
"Jack Colback","Colback","NEW",0
"Jacob Murphy","Murphy","NEW",0
"Jetro Willems","Willems","NEW",40
"Rolando Aarons","Aarons","NEW",0
"Allan Saint-Maximin","Saint-Maximin","NEW",12
"Emil Krafth","Krafth","NEW",11
"Andy Carroll","Carroll","NEW",5
"Matthew Longstaff","Matthew Longstaff","NEW",14
"Dwight Gayle","Gayle","NEW",2
"Timm Klose","Klose","NOR",0
"Ben Godfrey","Godfrey","NOR",9
"Maximillian Aarons","Aarons","NOR",10
"Christoph Zimmermann","Zimmermann","NOR",1
"Jamal Lewis","Lewis","NOR",18
"Grant Hanley","Hanley","NOR",1
"Teemu Pukki","Pukki","NOR",59
"Dennis Srbeny","Srbeny","NOR",5
"Tim Krul","Krul","NOR",36
"Michael McGovern","McGovern","NOR",11
"Mario Vrancic","Vrancic","NOR",2
"Emiliano Buendía","Buendía","NOR",37
"Onel Hernández","Hernández","NOR",10
"Marco Stiepermann","Stiepermann","NOR",16
"Kenny McLean","McLean","NOR",22
"Todd Cantwell","Cantwell","NOR",38
"Moritz Leitner","Leitner","NOR",16
"Alexander Tettey","Tettey","NOR",11
"Tom Trybull","Trybull","NOR",12
"Josip Drmic","Drmic","NOR",11
"Patrick Roberts","Roberts","NOR",3
"Ralf Fahrmann","Fahrmann","NOR",1
"Sam Byram","Byram","NOR",3
"Philip Heise","Heise","NOR",0
"Ibrahim Amadou","Amadou","NOR",13
"Adam Idah","Idah","NOR",0
"Archie Mair","Mair","NOR",0
"Akin Famewo","Famewo","NOR",0
"Lys Mousset","Mousset","SHU",35
"Enda Stevens","Stevens","SHU",49
"Kieron Freeman","Freeman","SHU",0
"Jack O'Connell","O'Connell","SHU",45
"George Baldock","Baldock","SHU",43
"John Egan","Egan","SHU",43
"Richard Stearman","Stearman","SHU",0
"John Lundstram","Lundstram","SHU",68
"Billy Sharp","Sharp","SHU",11
"Jake Eastwood","Eastwood","SHU",0
"Mark Duffy","Duffy","SHU",0
"John Fleck","Fleck","SHU",24
"Oliver Norwood","Norwood","SHU",29
"David McGoldrick","McGoldrick","SHU",13
"Chris Basham","Basham","SHU",40
"Simon Moore","Moore","SHU",0
"Luke Freeman","Freeman","SHU",8
"Phil Jagielka","Jagielka","SHU",3
"Callum Robinson","Robinson","SHU",24
"Ravel Morrison","Morrison","SHU",1
"Dean Henderson","Henderson","SHU",48
"Ben Osborn","Osborn","SHU",2
"Oliver McBurnie","McBurnie","SHU",18
"Michael Verrips","Verrips","SHU",0
"Muhamed Bešic","Bešic","SHU",1
"Leon Clarke","Clarke","SHU",1
"Jannik Vestergaard","Vestergaard","SOU",31
"Ryan Bertrand","Bertrand","SOU",-1
"Yan Valery","Valery","SOU",8
"Jan Bednarek","Bednarek","SOU",19
"Jack Stephens","Stephens","SOU",1
"Maya Yoshida","Yoshida","SOU",9
"Kayne Ramsay","Ramsay","SOU",0
"Charlie Austin","Austin","SOU",0
"Danny Ings","Ings","SOU",45
"Michael Obafemi","Obafemi","SOU",3
"Shane Long","Long","SOU",5
"Sam Gallagher","Gallagher","SOU",0
"Fraser Forster","Forster","SOU",0
"Alex McCarthy","McCarthy","SOU",1
"Angus Gunn","Gunn","SOU",29
"Nathan Redmond","Redmond","SOU",26
"James Ward-Prowse","Ward-Prowse","SOU",37
"Mohamed Elyounoussi","Elyounoussi","SOU",0
"Stuart Armstrong","Armstrong","SOU",11
"Mario Lemina","Lemina","SOU",0
"Pierre-Emile Højbjerg","Højbjerg","SOU",25
"Tyreke Johnson","Johnson","SOU",0
"Callum Slattery","Slattery","SOU",0
"Oriol Romeu Vidal","Oriol Romeu","SOU",22
"Che Adams","Adams","SOU",17
"Moussa Djenepo","Djenepo","SOU",17
"Wesley Hoedt","Hoedt","SOU",0
"Cédric Soares","Cédric","SOU",9
"Sofiane Boufal","Boufal","SOU",19
"Kevin Danso","Danso","SOU",9
"Daniel N'Lundulu","N'Lundulu","SOU",0
"Harry Lewis","Lewis","SOU",0
"Ben Davies","Davies","TOT",5
"Jan Vertonghen","Vertonghen","TOT",12
"Toby Alderweireld","Alderweireld","TOT",25
"Danny Rose","Rose","TOT",13
"Davinson Sánchez","Sánchez","TOT",8
"Kieran Trippier","Trippier","TOT",0
"Juan Foyth","Foyth","TOT",1
"Serge Aurier","Aurier","TOT",25
"Kyle Walker-Peters","Walker-Peters","TOT",5
"Harry Kane","Kane","TOT",55
"Vincent Janssen","Janssen","TOT",0
"Hugo Lloris","Lloris","TOT",23
"Paulo Gazzaniga","Gazzaniga","TOT",16
"Heung-Min Son","Son","TOT",43
"Christian Eriksen","Eriksen","TOT",26
"Bamidele Alli","Alli","TOT",19
"Lucas Rodrigues Moura da Silva","Lucas Moura","TOT",21
"Erik Lamela","Lamela","TOT",32
"Harry Winks","Winks","TOT",16
"Victor Wanyama","Wanyama","TOT",1
"Moussa Sissoko","Sissoko","TOT",24
"Eric Dier","Dier","TOT",2
"Luke Amos","Amos","TOT",0
"Oliver Skipp","Skipp","TOT",2
"Tanguy Ndombele","Ndombele","TOT",28
"Troy Parrott","Parrott","TOT",0
"Giovani Lo Celso","Lo Celso","TOT",5
"Ryan Sessegnon","Sessegnon","TOT",1
"Georges-Kévin Nkoudou","Nkoudou","TOT",1
"Alfie Whiteman","Whiteman","TOT",0
"Michel Vorm","Vorm","TOT",0
"Brandon Austin","Austin","TOT",0
"José Holebas","Holebas","WAT",7
"Christian Kabasele","Kabasele","WAT",18
"Adam Masina","Masina","WAT",7
"Adrian Mariappa","Mariappa","WAT",-1
"Francisco Femenía Far","Kiko Femenía","WAT",4
"Craig Cathcart","Cathcart","WAT",22
"Daryl Janmaat","Janmaat","WAT",29
"Marc Navarro","Navarro","WAT",0
"Sebastian Prödl","Prödl","WAT",1
"Troy Deeney","Deeney","WAT",4
"Gerard Deulofeu","Deulofeu","WAT",26
"Andre Gray","Gray","WAT",20
"Isaac Success Ajayi","Success","WAT",2
"Ben Foster","Foster","WAT",37
"Pontus Dahlberg","Dahlberg","WAT",0
"Abdoulaye Doucouré","Doucouré","WAT",27
"Roberto Pereyra","Pereyra","WAT",21
"Will Hughes","Hughes","WAT",26
"Tom Cleverley","Cleverley","WAT",24
"Ken Sema","Sema","WAT",0
"Etienne Capoue","Capoue","WAT",10
"Nathaniel Chalobah","Chalobah","WAT",6
"Domingos Quina","Quina","WAT",1
"Craig Dawson","Dawson","WAT",13
"Danny Welbeck","Welbeck","WAT",7
"Heurelho da Silva Gomes","Gomes","WAT",0
"Ismaïla Sarr","Sarr","WAT",6
"Dimitri Foulquier","Foulquier","WAT",0
"Aaron Cresswell","Cresswell","WHU",25
"Angelo Ogbonna","Ogbonna","WHU",23
"Arthur Masuaku","Masuaku","WHU",19
"Pablo Zabaleta","Zabaleta","WHU",6
"Ryan Fredericks","Fredericks","WHU",29
"Issa Diop","Diop","WHU",26
"Fabián Balbuena","Balbuena","WHU",8
"Winston Reid","Reid","WHU",0
"Ben Johnson","Johnson","WHU",0
"Marko Arnautovic","Arnautovic","WHU",0
"Javier Hernández Balcázar","Chicharito","WHU",9
"Alexandre Nascimento Costa Silva","Xande Silva","WHU",0
"Lukasz Fabianski","Fabianski","WHU",32
"Michail Antonio","Antonio","WHU",6
"Felipe Anderson Pereira Gomes","Felipe Anderson","WHU",31
"Manuel Lanzini","Lanzini","WHU",31
"Andriy Yarmolenko","Yarmolenko","WHU",44
"Robert Snodgrass","Snodgrass","WHU",22
"Jack Wilshere","Wilshere","WHU",6
"Declan Rice","Rice","WHU",23
"Mark Noble","Noble","WHU",28
"Carlos Sánchez","Carlos Sánchez","WHU",3
"Grady Diangana","Diangana","WHU",0
"Pablo Fornals","Fornals","WHU",15
"Pedro Obiang","Obiang","WHU",0
"Roberto Jimenez Gago","Roberto","WHU",13
"Sébastien Haller","Haller","WHU",46
"Albian Ajeti","Ajeti","WHU",3
"David Martin","Martin","WHU",0
"Matt Doherty","Doherty","WOL",38
"Jonathan Castro Otto","Jonny","WOL",30
"Conor Coady","Coady","WOL",30
"Ryan Bennett","Bennett","WOL",16
"Willy Boly","Boly","WOL",34
"Rúben Gonçalo Silva Nascimento Vinagre","Vinagre","WOL",8
"Romain Saïss","Saïss","WOL",18
"Max Kilman","Kilman","WOL",0
"Raúl Jiménez","Jiménez","WOL",52
"Diogo Jota","Jota","WOL",22
"Rui Pedro dos Santos Patrício","Patrício","WOL",46
"John Ruddy","Ruddy","WOL",0
"Will Norris","Norris","WOL",0
"Rúben Diogo da Silva Neves","Neves","WOL",23
"João Filipe Iria Santos Moutinho","Moutinho","WOL",32
"Morgan Gibbs-White","Gibbs-White","WOL",7
"Adama Traoré","Traoré","WOL",38
"Hélder Costa","Costa","WOL",0
"Ivan Cavaleiro","Cavaleiro","WOL",0
"Leander Dendoncker","Dendoncker","WOL",21
"Jesús Vallejo Lázaro","Vallejo","WOL",1
"Patrick Cutrone","Cutrone","WOL",15
"Pedro Lomba Neto","Neto","WOL",9
"Bernard Ashley-Seal","Ashley-Seal","WOL",0
"Taylor Perry","Perry","WOL",0
